Date,Real,AAVE-USD,ADA-USD,ALGO-USD,ATOM-USD,AUDUSD=X,AVAX-USD,AXS-USD,BCH-USD,BTC-USD,CHZ-USD,DOGE-USD,DOT-USD,ETH-USD,EURGBP=X,EURJPY=X,EURUSD=X,FIL-USD,GBPJPY=X,GBPUSD=X,HBAR-USD,LINK-USD,LTC-USD,MANA-USD,NEAR-USD,NZDUSD=X,SAND-USD,SOL-USD,TRX-USD,USDBRL=X,USDCAD=X,USDCHF=X,USDCZK=X,USDHKD=X,USDINR=X,USDJPY=X,USDMXN=X,USDNOK=X,USDSGD=X,USDTHB=X,USDTRY=X,USDZAR=X,VET-USD,XLM-USD,XRP-USD
2022-04-27,True,168.54986572265625,0.840595006942749,0.6703289747238159,21.506309509277344,0.714600145816803,69.85772705078125,38.82649612426758,307.33380126953125,39241.12109375,0.21032199263572693,0.1396999955177307,16.948017120361328,2888.9296875,0.845740020275116,135.4499969482422,1.0643619298934937,17.721229553222656,160.13600158691406,1.2583998441696167,0.16936199367046356,12.733110427856445,100.53875732421875,1.8453880548477173,12.846840858459473,0.6575616598129272,2.531856060028076,98.37886810302734,0.06322100013494492,4.997799873352051,1.2806099653244019,0.9622300267219543,22.961000442504883,7.845600128173828,76.79409790039062,127.26599884033203,20.380319595336914,9.230779647827148,1.377810001373291,34.23500061035156,14.799699783325195,15.824649810791016,0.05203000083565712,0.1843699961900711,0.652318000793457
2022-04-28,True,166.16043090820312,0.8439499735832214,0.6995030045509338,20.75442123413086,0.7125704288482666,67.31945037841797,38.0526123046875,306.7344055175781,39773.828125,0.20220999419689178,0.137363001704216,16.99651336669922,2936.94091796875,0.841509997844696,135.5279998779297,1.0555092096328735,18.113510131835938,161.01699829101562,1.2541857957839966,0.16988199949264526,12.662813186645508,103.32334899902344,1.8045539855957031,12.422850608825684,0.6542190313339233,2.505449056625366,98.18572998046875,0.06375200301408768,4.963600158691406,1.2813999652862549,0.9686700105667114,23.20989990234375,7.84630012512207,76.47219848632812,128.3939971923828,20.372299194335938,9.320980072021484,1.380769968032837,34.3489990234375,14.809800148010254,15.863659858703613,0.05163300037384033,0.18569299578666687,0.6443629860877991
2022-04-29,True,157.1151123046875,0.8050429821014404,0.636792004108429,19.47977638244629,0.710883617401123,63.41709518432617,34.273406982421875,294.709228515625,38609.82421875,0.18989500403404236,0.13502700626850128,16.162790298461914,2815.601806640625,0.8425999879837036,137.39100646972656,1.0504201650619507,17.309917449951172,163.0050048828125,1.2463854551315308,0.15918299555778503,11.970266342163086,100.37800598144531,1.666759967803955,11.280234336853027,0.6493085026741028,2.301506996154785,94.01134490966797,0.06353399902582169,4.93779993057251,1.280460000038147,0.9717000126838684,23.35919952392578,7.846700191497803,76.58899688720703,130.81100463867188,20.441299438476562,9.411499977111816,1.3865000009536743,34.433998107910156,14.78888988494873,15.982500076293945,0.0484669990837574,0.17791999876499176,0.6114069819450378
2022-04-30,True,142.74085998535156,0.756659984588623,0.5679720044136047,17.880937576293945,0.710883617401123,57.048004150390625,29.099294662475586,278.66888427734375,37714.875,0.17117899656295776,0.12755699455738068,14.519939422607422,2730.186767578125,0.8425999879837036,137.39100646972656,1.0504201650619507,14.33006763458252,163.0050048828125,1.2463854551315308,0.14126800000667572,10.997047424316406,96.16598510742188,1.430101990699768,10.33761978149414,0.6493085026741028,1.9644709825515747,85.09593200683594,0.06276699900627136,4.93779993057251,1.280460000038147,0.9717000126838684,23.35919952392578,7.846700191497803,76.58899688720703,130.81100463867188,20.441299438476562,9.411499977111816,1.3865000009536743,34.433998107910156,14.78888988494873,15.982500076293945,0.045343998819589615,0.16937899589538574,0.5870910286903381
2022-05-01,True,146.55543518066406,0.7903439998626709,0.6019409894943237,18.026411056518555,0.710883617401123,58.85614776611328,31.823352813720703,284.4119873046875,38469.09375,0.18253499269485474,0.1327729970216751,15.381729125976562,2827.756103515625,0.8425999879837036,137.39100646972656,1.0504201650619507,15.133082389831543,163.0050048828125,1.2463854551315308,0.1463090032339096,11.312018394470215,99.43577575683594,1.533400058746338,11.839072227478027,0.6493085026741028,2.1593689918518066,89.6715087890625,0.07090599834918976,4.93779993057251,1.280460000038147,0.9717000126838684,23.35919952392578,7.846700191497803,76.58899688720703,130.81100463867188,20.441299438476562,9.411499977111816,1.3865000009536743,34.433998107910156,14.78888988494873,15.982500076293945,0.048544999212026596,0.1759900003671646,0.6078439950942993
2022-05-02,True,144.04705810546875,0.7815290093421936,0.6159589886665344,17.813140869140625,0.7065390348434448,60.51710510253906,30.21323013305664,285.0909423828125,38529.328125,0.17865200340747833,0.13093799352645874,14.978443145751953,2857.410400390625,0.8379499912261963,136.9709930419922,1.0535964965820312,14.628806114196777,163.4459991455078,1.2573871612548828,0.1399189978837967,11.178779602050781,100.69322967529297,1.506592035293579,11.795546531677246,0.6456194519996643,2.1150801181793213,87.58101654052734,0.06878899782896042,4.97130012512207,1.2853000164031982,0.9741700291633606,23.31559944152832,7.8470001220703125,76.52310180664062,130.01100158691406,20.41737937927246,9.390199661254883,1.3837000131607056,34.18899917602539,14.854900360107422,15.794099807739258,0.047529999166727066,0.17370599508285522,0.6142690181732178
2022-05-03,True,141.09921264648438,0.7711449861526489,0.6698160171508789,17.593530654907227,0.7050997614860535,59.66010665893555,29.114042282104492,279.4828186035156,37750.453125,0.17796699702739716,0.1295199990272522,14.72703742980957,2783.476318359375,0.8407899737358093,136.7519989013672,1.0509058237075806,14.619691848754883,162.5749969482422,1.2498282194137573,0.13908299803733826,11.121427536010742,99.343017578125,1.4749959707260132,12.02668571472168,0.6441307067871094,2.132312059402466,85.84237670898438,0.07233600318431854,5.084700107574463,1.2874000072479248,0.977840006351471,23.476999282836914,7.847499847412109,76.52410125732422,130.11199951171875,20.448200225830078,9.428689956665039,1.385640025138855,34.46200180053711,14.886699676513672,16.10759925842285,0.046835001558065414,0.17210699617862701,0.6048489809036255
2022-05-04,True,159.0804443359375,0.8969420194625854,0.7144330143928528,19.876861572265625,0.7103786468505859,67.08610534667969,33.363853454589844,299.85614013671875,39698.37109375,0.1954980045557022,0.1358090043067932,16.30525779724121,2940.644775390625,0.84197998046875,136.9600067138672,1.0528532266616821,15.68973159790039,162.63600158691406,1.2500405311584473,0.15126700699329376,12.145609855651855,106.27486419677734,1.6618850231170654,12.989053726196289,0.643430233001709,2.434154987335205,92.7708511352539,0.08624900132417679,4.958099842071533,1.2833800315856934,0.9787600040435791,23.40019989013672,7.847259998321533,76.46730041503906,130.11599731445312,20.280059814453125,9.393400192260742,1.3838399648666382,34.31700134277344,14.80679988861084,15.733240127563477,0.05388600006699562,0.18457099795341492,0.6464740037918091
2022-05-05,True,141.56121826171875,0.7911520004272461,0.6342790126800537,17.85328483581543,0.7252898812294006,59.12744140625,28.98440933227539,277.2933044433594,36575.140625,0.1759209930896759,0.12842999398708344,14.58102798461914,2749.213134765625,0.8417199850082397,137.2480010986328,1.0622477531433105,13.982954025268555,163.0229949951172,1.261813759803772,0.13597999513149261,10.917400360107422,96.91891479492188,1.4677540063858032,11.219779014587402,0.6551019549369812,2.129530906677246,84.59602355957031,0.07458499819040298,4.918799877166748,1.2737200260162354,0.9731900095939636,23.13010025024414,7.8480000495910645,76.00160217285156,129.22300720214844,20.038259506225586,9.228050231933594,1.3742400407791138,34.04999923706055,14.739700317382812,15.468799591064453,0.047589998692274094,0.17126399278640747,0.5988860130310059
2022-05-06,True,138.3785858154297,0.7833589911460876,0.6969249844551086,17.674110412597656,0.712100088596344,57.034324645996094,28.462556838989258,274.9815368652344,36040.921875,0.17287799715995789,0.12790100276470184,14.313101768493652,2694.979736328125,0.8523899912834167,137.36700439453125,1.0539740324020386,13.868735313415527,161.1009979248047,1.2364147901535034,0.13403399288654327,10.799843788146973,96.79175567626953,1.4476850032806396,10.776426315307617,0.6430289149284363,2.060265064239502,81.76410675048828,0.08617500215768814,5.0279998779296875,1.2826999425888062,0.9851999878883362,23.286399841308594,7.8491997718811035,76.54180145263672,130.3300018310547,20.21470069885254,9.482999801635742,1.3839999437332153,34.29999923706055,14.865079879760742,15.979599952697754,0.04700300097465515,0.17129400372505188,0.6025699973106384
