Date,AAVE-USD,ADA-USD,ALGO-USD,ATOM-USD,AUDUSD=X,AVAX-USD,AXS-USD,BCH-USD,BTC-USD,CHZ-USD,DOGE-USD,DOT-USD,ETH-USD,EURGBP=X,EURJPY=X,EURUSD=X,FIL-USD,GBPJPY=X,GBPUSD=X,HBAR-USD,LINK-USD,LTC-USD,MANA-USD,NEAR-USD,NZDUSD=X,SAND-USD,SOL-USD,TRX-USD,USDBRL=X,USDCAD=X,USDCHF=X,USDCZK=X,USDHKD=X,USDINR=X,USDJPY=X,USDMXN=X,USDNOK=X,USDSGD=X,USDTHB=X,USDTRY=X,USDZAR=X,VET-USD,XLM-USD,XRP-USD
2024-08-26 00:00:00,136.8131103515625,0.3873341381549835,0.1428515464067459,5.089676380157471,0.685904860496521,26.974760055541992,5.28639554977417,358.4927673339844,64297.14453125,0.061027027666568756,0.11035417765378952,4.857140064239502,2754.391845703125,0.8637649416923523,162.53909301757812,1.1268013715744019,4.181181907653809,191.44508361816406,1.3248597383499146,0.05919868126511574,12.104443550109863,65.28943634033203,0.3082640767097473,4.910423278808594,0.62944495677948,0.29665863513946533,159.0028076171875,0.16577887535095215,5.605984687805176,1.3754249811172485,0.866784930229187,22.546199798583984,7.811884880065918,83.95568084716797,146.2170867919922,19.505285263061523,10.595564842224121,1.3251949548721313,34.50508499145508,33.97258377075195,18.01859474182129,0.025278275832533836,0.10133776813745499,0.6032813787460327
2024-08-27 00:00:00,130.8265380859375,0.37426429986953735,0.1375935673713684,4.969704627990723,0.6772878766059875,26.243606567382812,5.076915740966797,348.23101806640625,63203.1328125,0.058567143976688385,0.10715819150209427,4.672883033752441,2704.08642578125,0.8473884463310242,161.58407592773438,1.1174664497375488,4.015670299530029,190.65023803710938,1.3191112279891968,0.05723818391561508,11.960705757141113,63.868690490722656,0.29710420966148376,4.83587646484375,0.6208999156951904,0.2853313386440277,157.93150329589844,0.16158151626586914,5.521361827850342,1.354052186012268,0.8488133549690247,22.427160263061523,7.796880722045898,83.85701751708984,144.75057983398438,19.30699348449707,10.504560470581055,1.304197907447815,34.13406753540039,34.010231018066406,17.830018997192383,0.024401580914855003,0.09858741611242294,0.592744767665863
2024-08-28 00:00:00,123.67281341552734,0.3573453426361084,0.13084107637405396,4.72234582901001,0.6773706078529358,24.868906021118164,4.810823440551758,332.244384765625,60802.98046875,0.05571773275732994,0.10169955343008041,4.4596381187438965,2534.02197265625,0.8466165661811829,161.32594299316406,1.116572618484497,3.808525800704956,190.6407470703125,1.3192867040634155,0.054051436483860016,11.420087814331055,61.604740142822266,0.28362762928009033,4.633008003234863,0.6206467747688293,0.2677951157093048,149.61473083496094,0.15952174365520477,5.495873928070068,1.3500323295593262,0.8473133444786072,22.406423568725586,7.796799182891846,83.8858871459961,144.533203125,19.38018226623535,10.539384841918945,1.303849458694458,33.96942901611328,34.02359390258789,17.73965072631836,0.02336059883236885,0.09524164348840714,0.5759723782539368
2024-08-29 00:00:00,125.70014953613281,0.35047516226768494,0.12805669009685516,4.597473621368408,0.678784191608429,23.82461166381836,4.688407897949219,324.6860656738281,59501.8203125,0.054201703518629074,0.09963567554950714,4.311771869659424,2531.087646484375,0.8439294695854187,161.00225830078125,1.1178373098373413,3.686924934387207,190.83599853515625,1.3246339559555054,0.05200440064072609,11.180521965026855,61.837284088134766,0.2770453095436096,4.424707412719727,0.6239354014396667,0.2576845586299896,145.862060546875,0.15822286903858185,5.505849838256836,1.3462257385253906,0.8426753282546997,22.35767936706543,7.801425933837891,83.91922760009766,143.99267578125,19.67548942565918,10.464125633239746,1.3013373613357544,33.92799758911133,34.01924514770508,17.712377548217773,0.022901279851794243,0.09349348396062851,0.5698981881141663
2024-08-30 00:00:00,122.92915344238281,0.35638853907585144,0.1268894374370575,4.605164051055908,0.6783322691917419,23.139108657836914,4.704518795013428,322.4461975097656,59401.15234375,0.055742837488651276,0.10026772320270538,4.258636474609375,2528.275146484375,0.8431528210639954,160.77737426757812,1.1138688325881958,3.6455085277557373,190.5785675048828,1.3193031549453735,0.05132729187607765,10.981460571289062,62.44257736206055,0.2734421491622925,4.272515296936035,0.6246370673179626,0.2534632682800293,141.67633056640625,0.15970902144908905,5.5514116287231445,1.347759485244751,0.841809868812561,22.485029220581055,7.800088405609131,83.94027709960938,144.44281005859375,19.66999053955078,10.50503921508789,1.3035410642623901,34.025047302246094,34.1262092590332,17.808183670043945,0.022487813606858253,0.09313180297613144,0.5640791058540344
2024-08-31 00:00:00,130.01051330566406,0.34836721420288086,0.12820295989513397,4.636869430541992,0.6793803572654724,23.302940368652344,4.774356365203857,324.9546203613281,59115.87890625,0.0540919154882431,0.10165349394083023,4.273736953735352,2526.51611328125,0.8417803645133972,160.59507751464844,1.109911561012268,3.642329216003418,190.7514190673828,1.3179388046264648,0.051364462822675705,11.125911712646484,64.43944549560547,0.27255478501319885,4.159207344055176,0.6260225176811218,0.25498658418655396,138.98707580566406,0.1599491983652115,5.6164631843566895,1.3488411903381348,0.846550464630127,22.575984954833984,7.79817533493042,83.9061050415039,144.82769775390625,19.8232421875,10.500422477722168,1.302644968032837,33.905303955078125,34.07856369018555,17.725669860839844,0.022354476153850555,0.09326092898845673,0.5672426223754883
2024-09-01 00:00:00,129.8873291015625,0.3470781743526459,0.12459562718868256,4.578634262084961,0.6796441078186035,22.848064422607422,4.706488609313965,322.4034118652344,59036.18359375,0.05347060412168503,0.10135006904602051,4.258248805999756,2517.206298828125,0.8415360450744629,160.5382080078125,1.1080888509750366,3.5791807174682617,190.75294494628906,1.3166477680206299,0.05031506344676018,11.026203155517578,65.00227355957031,0.27028730511665344,4.069432735443115,0.6264106035232544,0.25213050842285156,136.52951049804688,0.15804176032543182,5.630992412567139,1.3489710092544556,0.8471975922584534,22.583742141723633,7.796891212463379,83.89555358886719,144.91297912597656,19.842735290527344,10.500213623046875,1.3026288747787476,33.89148712158203,34.07794189453125,17.728261947631836,0.02191796340048313,0.09274011105298996,0.5663554072380066
2024-09-02 00:00:00,123.20951843261719,0.3350708782672882,0.12049134075641632,4.395259857177734,0.6946649551391602,21.93656349182129,4.5391106605529785,315.9718017578125,57681.12109375,0.05123237520456314,0.09676400572061539,4.115866184234619,2449.51806640625,0.8566049337387085,160.55209350585938,1.123130440711975,3.4365806579589844,190.75808715820312,1.3317060470581055,0.04881034791469574,10.537160873413086,63.80943298339844,0.25807490944862366,3.923069715499878,0.6414158344268799,0.24035657942295074,131.21221923828125,0.15650083124637604,5.627699851989746,1.3639949560165405,0.8620249032974243,22.59538459777832,7.811944961547852,83.91018676757812,144.90509033203125,19.849285125732422,10.515265464782715,1.3177050352096558,33.90508270263672,34.09242248535156,17.742385864257812,0.02129245176911354,0.09087403118610382,0.5512170791625977
2024-09-03 00:00:00,134.06124877929688,0.3361295759677887,0.12522174417972565,4.441192150115967,0.6777481436729431,22.407655715942383,4.679878234863281,323.5030822753906,59093.1953125,0.05250868201255798,0.09927389770746231,4.213805675506592,2535.69873046875,0.8413028717041016,161.45919799804688,1.1056984663009644,3.496432304382324,191.91302490234375,1.3141376972198486,0.050690192729234695,10.776107788085938,65.2712173461914,0.2655585706233978,3.9957804679870605,0.6254540085792542,0.2505686283111572,135.03250122070312,0.1547985076904297,5.615506172180176,1.3489036560058594,0.84983229637146,22.63376235961914,7.797533988952637,83.87447357177734,146.10145568847656,19.74561309814453,10.585859298706055,1.3054147958755493,33.91437530517578,34.073028564453125,17.804000854492188,0.021780194714665413,0.09240389615297318,0.5673537850379944
2024-09-04 00:00:00,120.23526763916016,0.3230549097061157,0.11929534375667572,4.18819522857666,0.6788106560707092,21.43281364440918,4.451621055603027,310.7378234863281,57409.72265625,0.05028165504336357,0.09671121090650558,4.071221828460693,2426.116943359375,0.8419458866119385,162.3192596435547,1.1068416833877563,3.3598854541778564,192.75331115722656,1.3142508268356323,0.04885421320796013,10.356122016906738,64.441650390625,0.255063533782959,3.780830144882202,0.6238758563995361,0.24198180437088013,128.31430053710938,0.15177686512470245,5.615328788757324,1.3496730327606201,0.8513110876083374,22.60822105407715,7.796572685241699,83.91971588134766,146.6934051513672,19.8350772857666,10.591451644897461,1.306296706199646,34.1323356628418,33.941410064697266,17.796337127685547,0.02088969014585018,0.09150001406669617,0.5575681924819946
