Datetime,BTC-USD,ETH-USD,XRP-USD,BNB-USD,SOL-USD,WBTC-USD,LINK-USD,AVAX-USD,LEO-USD,WSTETH-USD,BCH-USD,LTC-USD,DOT-USD,BGB-USD,WETH-USD,XMR-USD,WBT-USD,NEAR-USD,OKB-USD,GT-USD,ICP-USD,ETC-USD,AAVE-USD,TKX-USD,ATOM-USD,FTN-USD,FIL-USD,KCS-USD,MKR-USD,NEXO-USD,QNT-USD,WETH-USD.1,INJ-USD,WBNB-USD,RAY-USD,RETH-USD
2025-04-22 03:00:00,132.17076263167917,230.44937993853074,84.50875374211824,130.54663923228006,219.93429632987397,34.82507204541374,201.30882166184017,117.38749240880885,1091.2620557276748,10.094043134875893,101.50576402598634,121.04338639347978,334.90640507081366,19.49987003176393,20.962947972501585,102.72410640699628,57.69492922613965,248.62864240679568,57.87211017245106,28.94121867072754,500.0022613554531,166.61396935391895,276.32334017720177,2000.860184479318,147.1196208617165,120.3862977408132,250.78818306809842,102.66105288604803,84.60870925946159,182.31582802538384,241.13766497374095,20.962947972501585,360.5819041823461,22.25381518957765,41.31981543396954,15.240906589750704
2025-04-22 04:00:00,132.26894152182317,230.60434555326793,84.61761130527604,130.48952552101443,220.63655710017323,34.81133495098373,202.28702463466226,117.84669643437634,1088.1263747682738,10.07722122288051,101.66653555030209,120.88644949601823,336.531754834863,19.5088059987335,20.91353031729626,102.62982007989463,57.66990884719566,250.62440187787317,57.851365730239976,28.853134993703367,503.6582457991213,167.38285849258796,275.1419600988083,2018.727325819197,148.1787903642812,120.50219915877865,253.39426804852616,102.53475293246923,84.67957367176513,181.95789528703892,241.5158361398105,20.91353031729626,363.52589078726703,22.227481893617806,41.34880902076479,15.215920575557307
2025-04-22 05:00:00,131.7762036508325,229.72521062831507,84.62261689952977,130.35469178627966,219.76692843313074,34.76850439044009,201.32502409385174,117.58676132633205,1088.1287466293063,10.083399141912283,101.48938112916355,120.72292397866023,335.6655774038384,19.5318563203581,20.93067405347832,102.77585602904902,57.67797443062812,251.8601562348274,57.869346568685714,28.81176919286602,505.0932909332461,167.33849711153135,273.91565027651194,2056.8726808972483,148.02072069592376,120.52038669679055,249.7856382351809,102.51960986513414,84.33917427657447,181.57101866784166,240.88662127036397,20.93067405347832,362.5612160694907,22.211323894767606,41.31149776029085,15.17993963718481
2025-04-22 06:00:00,132.07058814024657,229.9191350275016,84.8684673971889,130.11658957292582,220.17824441341102,34.81952835285932,202.5494182486468,118.73183214196908,1087.6391202023697,10.083162589309094,103.34261724279293,120.81630547361823,338.7206969242913,19.44450402430644,20.93964497689726,102.30707685016202,57.74445847833416,254.40179435595556,58.04486101246963,28.82287754963482,510.28859032403625,168.25042522208216,274.96028220836723,2132.337389330724,148.57013796845848,120.46349076261198,252.38503481281268,102.50142023645509,84.38756850333165,181.73120861077052,243.3908774203618,20.93964497689726,366.67447607623563,22.192738866741795,41.84630962740184,15.176763587654884
2025-04-22 07:00:00,131.6636705890995,224.76980295703288,85.61853358397157,129.54643950909232,218.67125784080227,34.73535193740765,198.88158105205144,122.25934919526222,1088.8926846670313,9.930314379974424,106.4614014585582,119.30348330691298,333.46600248111434,19.497557855593215,20.6325073593581,102.31093132539544,57.86765535765304,250.22507684833477,58.11136902456862,28.786869516504623,517.431563568029,171.38183994941843,268.38945526174365,2103.345027178034,150.89566329186394,120.39468142957332,249.5947449541247,101.38499441225287,82.44914701148355,180.54743489555793,246.95746631985372,20.6325073593581,372.7182854368207,22.1174101244942,42.863662941198825,15.174340627062547
2025-04-22 08:00:00,131.74902168469404,223.6566804856131,85.41461656904764,129.33359480826024,219.77684014293013,34.717697285814445,198.08610771007827,122.48861468672047,1104.7195011432025,9.8048116281132,106.71617343486028,118.77166566413412,332.9218899292183,19.419072731979707,20.911869593874613,101.8503800089944,57.75307116983836,249.72401455033247,57.96242950965635,28.738669182218185,521.6308266277333,171.82198708148542,268.01772306211245,2096.219184299091,150.46687700969954,120.47054038689534,249.52814131244168,101.60091434085749,82.89428137340946,177.10020438751238,245.56114211642026,20.911869593874613,372.5123962916301,22.020238582253892,42.951855555454806,14.918918801629111
2025-04-22 09:00:00,131.58200707897174,223.98704592603445,85.264693100232,129.33758679525337,219.40403549859818,34.69089030685402,198.3338879601801,122.80644256477194,1108.2080365928732,9.795522881237721,107.21826942874357,119.50963169734707,336.3548350920735,19.487636557005676,20.888667438050714,102.17459903602033,57.73193067014684,251.36846259223887,57.823830751519715,28.76381936651625,523.208910432284,172.39553496838866,270.2113074682694,2064.8479132020593,150.69605824396848,120.43637302288067,252.0794224668246,101.56357376617645,82.88415514167832,178.14988845799132,244.62501863474705,20.888667438050714,375.423743504266,22.0269493252135,42.97901155284622,14.80022594959998
2025-04-22 10:00:00,131.55394158784418,223.51384190022145,85.16088188207341,129.01536980690784,219.08892633990837,34.68978382570977,197.06354038864492,121.62056735730089,1138.0763567221695,9.796177323443665,107.10139787218303,119.60034033681664,339.6281068193658,19.44001644986835,20.89270476237032,102.20967100772492,57.71927085459185,249.850663274042,57.79825429199301,28.728627087740062,520.0448590697872,171.9097926543619,271.28939692050227,2093.371207640435,150.0063559027443,120.51055821984704,254.33628820726202,101.97130114331453,82.71551804243545,177.46452722381372,244.30285675813266,20.89270476237032,378.4962778719905,21.99068723011461,42.843308288159626,14.79086829194048
2025-04-22 11:00:00,131.42243613591984,223.10391777820217,85.33278452725344,128.79104187012442,218.11269849123684,34.656212268090535,196.26822728730122,121.40615835998575,1135.314626403482,9.779050219766598,107.19012609359066,118.99798014925777,338.5071594859335,19.367293320539847,20.851317115159215,101.73199061906543,57.700866837899156,245.08366949082705,57.816973297201244,28.776860073266803,516.2311468297828,171.17480334602243,269.3182547904509,2097.30972372918,149.30816192764487,120.55773048956277,253.98848598760807,101.19698688288898,82.9874448498929,178.74508984255317,243.2857598751914,20.851317115159215,372.7502870184178,22.019759241425668,42.592297278321404,14.766492779826228
2025-04-22 12:00:00,130.78632870234293,222.3815833451957,85.17217760289887,128.52917364058342,216.16753684244165,34.70760070364264,195.73679253085464,120.87183678556744,1134.9707113946388,9.759214651960074,106.89960861557998,118.86739891210561,338.59894333382687,19.321653663161925,20.817873473746648,101.75974656954064,57.663420762879745,245.3906227801629,57.81346094020631,28.721552218200365,514.0343221904933,171.22907651394945,267.4580402236278,2102.2512782566896,149.96976302951285,120.39910436368257,254.07929208358985,101.17282196044165,82.40356970464366,180.27360854079154,246.98038545134122,20.817873473746648,373.5621398444288,22.003321169032915,41.99297632944542,14.753203305918534
2025-04-22 13:00:00,129.25550664574524,221.96660752353202,84.41206657455658,128.57098493083714,214.6294967105995,34.15060492355263,194.5638157884744,120.36552147789149,1120.536226404073,9.719602790200693,105.72868271717044,117.4877249927374,336.0052986074316,19.18632506057925,20.727204194144928,100.6111122614783,57.29138676426733,241.88415076578679,57.416529112414835,28.47239107454063,511.7480399551744,169.6684073856071,267.88987045381293,2038.6064985752635,148.33557210222605,120.42313770020131,252.17025930132144,101.17562168033648,82.39788836654792,177.432280268155,246.59612391126726,20.727204194144928,370.07777205808696,21.97415329120277,41.99386724752921,14.912512731429716
2025-04-22 14:00:00,128.2098931223937,217.80420499148195,83.35873025294322,127.82616383180691,212.81357685004835,33.94995333756868,191.7008830487739,116.12604986724992,1124.2062951131445,9.64184936065146,105.44240947655298,116.07733797479216,330.28856174264814,19.258802436745334,20.522605364508355,100.70313654415529,57.37649668204176,240.62034522526594,57.091713718417225,28.361136844950334,506.97504065799325,167.31273329483147,264.67873608114667,2065.107726669273,146.45248014241693,120.43012830302699,247.74446977294852,100.11801521642501,81.03815691132641,173.6946932246454,248.5984703461792,20.522605364508355,361.44678751712723,21.859578407635546,41.10330668406739,15.138546399088263
2025-04-22 15:00:00,128.19558228936597,214.31962586161595,83.22762021996859,127.93626870411065,211.7409955141677,33.934126071718616,191.19094505148473,114.96780031775735,1124.1378876452,9.454412471638246,103.30249609049042,115.24150407809461,331.73555969624215,19.2638498105363,20.0282395979369,101.07951094168806,57.335962318627494,239.82451983853952,56.97161586696576,28.30235821274678,506.24495945791784,165.73012539940095,262.92600908826745,2033.7731686718441,146.32356123269176,120.47608286736357,247.74656736571265,99.33420609119217,80.9719990138084,174.57678850768804,248.15569368926066,20.0282395979369,362.55219920215563,21.88607043136727,41.3443389119847,14.9174543075264
2025-04-22 16:00:00,128.3903311669239,215.17584098863747,83.56952757081766,128.25217213989657,211.51007242077492,33.919169568166986,191.3571579387149,114.8349541969037,1122.764565332993,9.527710890727787,103.90309051287173,114.95134971026238,330.2078500305446,19.186268173121903,20.03715595701059,101.65309932874663,57.51653855127614,240.61612380115304,57.16543996912491,28.270595382190557,507.20641101951065,165.77031548640227,263.2257766075615,2035.1433983627378,145.46504027213663,120.52175609437127,247.2403923127618,99.36064448935109,81.04024897012305,173.7902319311873,248.4892457517836,20.03715595701059,363.1348395106329,21.902680613456972,41.07210569818149,15.002565352216546
2025-04-22 17:00:00,129.49491750259494,213.8845220433404,82.89617243278397,128.29429190420976,211.62022893542763,33.74218025986671,190.798244851315,114.34988664810264,1121.2265870042263,9.518344180708072,104.03236978285682,114.10529898400172,327.6217417952083,19.094593567727195,20.018962438773357,101.00968061039082,57.56463677285043,239.17864917147682,56.934111334016166,28.115061440320982,502.20868411789513,165.35113378098862,262.2738707663514,2017.1338633244718,144.90301506323695,120.50618953942315,245.98847565000582,99.12708518745829,80.9469715144495,172.6120831449499,245.75298816772994,20.018962438773357,359.7419818883572,21.936278444036194,40.754572242018796,14.992259196846318
2025-04-22 18:00:00,129.43608472220726,213.42127246106574,82.83584887767597,128.16064438155345,211.41570244206136,33.6784312927431,190.28198940561117,113.8808526352559,1117.408519642913,9.36859093930182,103.77227630023796,114.06246339843028,326.33564383799114,19.114941671788188,19.964525144201207,100.5227953994911,57.527352576779805,236.32063109456192,57.053196893851386,28.131499176519906,497.0285495581539,164.90335664171357,260.1069231667637,2016.3802406920406,144.45901263725304,120.5046819977019,243.38733163538015,98.93053144423723,80.6395363642964,172.47569478905226,240.69410716940502,19.964525144201207,357.43860763595234,21.898044515508015,39.98747702104998,14.978690203938056
2025-04-22 19:00:00,129.62546212326023,214.26478107807284,83.07895756119746,128.27902659350974,212.22557795704577,33.70832354675394,190.45517860401833,114.77761844025922,1115.7566248027683,9.388012918535766,104.22104521853635,114.37196517461047,327.35294615509264,19.12519760539841,20.030909922993384,100.72881286466693,57.59507079352787,236.86235212502453,57.15326991825316,28.25993142364692,497.191260338968,165.07553841396052,260.91969506561594,2017.8261232128457,144.4730874698883,120.51713732516637,242.815409353076,99.05390771069392,81.18359562080316,171.97887535039746,239.6299629601316,20.030909922993384,359.42538102262694,21.92285246604846,40.07367231196686,14.726071630463615
2025-04-22 20:00:00,129.98660624331774,214.39594685851503,83.12293558317053,128.38929902472452,212.55371692665977,33.753141490924335,190.9417055812085,114.82585622761628,1114.423553982877,9.37694004187196,104.71219189450446,114.25169020251656,327.4488283116094,19.163367929908336,19.994554110226638,100.80412518582506,57.641843617141156,237.09714047681538,57.01003938488328,28.251273654022842,496.7594324969056,164.66324744926416,260.3357630899193,2013.7650695951077,144.38824275172976,120.57179972225433,242.77266511524928,98.93186992274582,81.08227340253018,172.81646419774182,237.65366525151404,19.994554110226638,358.89470163012487,21.936276241708494,39.59868222096739,14.71440388045113
