Datetime,AAVE-USD,ATOM-USD,AVAX-USD,BCH-USD,BGB-USD,BNB-USD,BTC-USD,DOT-USD,ETC-USD,ETH-USD,FIL-USD,FTN-USD,GT-USD,ICP-USD,INJ-USD,KCS-USD,LEO-USD,LINK-USD,LTC-USD,MKR-USD,NEAR-USD,NEXO-USD,OKB-USD,QNT-USD,RAY-USD,RETH-USD,SOL-USD,TKX-USD,WBNB-USD,WBT-USD,WBTC-USD,WETH-USD,WETH-USD.1,WSTETH-USD,XMR-USD,XRP-USD
2024-08-26 00:00:00,137.13916015625,5.086108684539795,27.428020477294922,359.0306701660156,0.9952093362808228,577.51171875,64444.515625,4.853265285491943,20.212186813354492,2772.158447265625,4.195319652557373,2.4926960468292236,7.87713623046875,8.621662139892578,22.41090202331543,8.636165618896484,5.884627342224121,12.193449020385742,65.17535400390625,2146.725830078125,4.981170654296875,1.0743626356124878,39.020782470703125,69.51599884033203,1.8605231046676636,3082.33056640625,160.5921173095703,8.55319595336914,577.0010986328125,10.972338676452637,64199.703125,2772.021484375,2772.021728515625,3258.031005859375,167.9182891845703,0.6024166345596313
2024-08-26 01:00:00,135.9801483154297,5.064504623413086,26.977703094482422,357.0141906738281,0.9966995716094971,574.615966796875,64300.1953125,4.826395034790039,20.13410186767578,2752.22509765625,4.163729667663574,2.4891109466552734,7.848870754241943,8.52327823638916,22.360366821289062,8.647146224975586,5.88301944732666,12.111927032470703,64.90483856201172,2132.8232421875,4.9125213623046875,1.0717893838882446,39.06593704223633,68.90751647949219,1.8375011682510376,3078.435302734375,158.90672302246094,8.47945499420166,575.703857421875,10.99267864227295,64107.33203125,2763.629150390625,2763.629150390625,3247.402099609375,166.92356872558594,0.6003100872039795
2024-08-26 02:00:00,136.5435028076172,5.070616722106934,26.760007858276367,356.1656799316406,0.9958109259605408,573.4133911132812,64165.4375,4.836789131164551,20.170944213867188,2756.727783203125,4.159814834594727,2.484022378921509,7.827267169952393,8.527068138122559,22.42943572998047,8.647960662841797,5.882424354553223,12.134259223937988,64.80882263183594,2142.628662109375,4.937533378601074,1.0702558755874634,38.77495574951172,69.22618103027344,1.837705135345459,3073.628173828125,159.20892333984375,8.479415893554688,574.8833618164062,10.981240272521973,64013.11328125,2760.60302734375,2760.60302734375,3246.41259765625,166.94874572753906,0.5997371673583984
2024-08-26 03:00:00,135.2388916015625,5.038084983825684,26.647695541381836,354.4429626464844,1.0042515993118286,571.3717651367188,64022.3359375,4.812032699584961,20.075956344604492,2747.0595703125,4.137505054473877,2.479429006576538,7.821124076843262,8.454255104064941,22.172412872314453,8.632705688476562,5.899472713470459,12.081278800964355,64.55463409423828,2133.415283203125,4.902565956115723,1.0659042596817017,38.660648345947266,68.77623748779297,1.820875883102417,3073.9677734375,158.46270751953125,8.407750129699707,573.5237426757812,10.974037170410156,63923.9921875,2755.748779296875,2755.748779296875,3241.529296875,166.3244171142578,0.5977132320404053
2024-08-26 04:00:00,134.93209838867188,5.040303707122803,26.676918029785156,354.2420959472656,1.0041581392288208,570.5977783203125,64067.33203125,4.807921409606934,20.03624725341797,2744.919921875,4.129520893096924,2.4810829162597656,7.785500526428223,8.442567825317383,22.101463317871094,8.624448776245117,5.89484167098999,12.0889892578125,64.44438171386719,2131.335693359375,4.89590311050415,1.0647790431976318,38.56184387207031,68.84912109375,1.8212924003601074,3073.04443359375,158.5747528076172,8.536171913146973,571.5098266601562,10.997159957885742,63895.60546875,2748.91455078125,2748.914306640625,3237.27392578125,164.2441864013672,0.5972587466239929
2024-08-26 05:00:00,134.75465393066406,5.054512977600098,26.78522491455078,354.352783203125,1.0076117515563965,570.4835205078125,64097.10546875,4.817336559295654,20.043601989746094,2746.068603515625,4.124184608459473,2.482727527618408,7.788681983947754,8.440572738647461,22.058446884155273,8.639181137084961,5.886894702911377,12.105196952819824,64.40601348876953,2137.76220703125,4.912365436553955,1.0642462968826294,38.667572021484375,68.7754898071289,1.8329781293869019,3072.9697265625,159.59385681152344,8.578720092773438,570.471923828125,10.975015640258789,63902.50390625,2746.98876953125,2746.988525390625,3232.89794921875,164.42662048339844,0.5967527031898499
2024-08-26 06:00:00,134.57089233398438,5.0922698974609375,26.823801040649414,354.45318603515625,1.0079677104949951,571.189697265625,64031.8828125,4.817441463470459,20.121335983276367,2751.14306640625,4.116546154022217,2.4793097972869873,7.764623641967773,8.443283081054688,22.00605010986328,8.62734603881836,5.885185241699219,12.178582191467285,64.42742156982422,2139.8330078125,4.922393321990967,1.0660463571548462,38.63225555419922,68.88458251953125,1.8358564376831055,3072.60693359375,160.19497680664062,8.54762077331543,570.86962890625,10.977985382080078,63906.05078125,2747.20849609375,2747.208740234375,3232.525634765625,164.23731994628906,0.5968071818351746
2024-08-26 07:00:00,134.5775909423828,5.0741658210754395,26.918354034423828,354.00933837890625,1.0091569423675537,567.9711303710938,63987.8984375,4.801695346832275,20.07998275756836,2745.019775390625,4.102709770202637,2.47890305519104,7.727948188781738,8.432004928588867,21.916650772094727,8.63576889038086,5.895391464233398,12.169443130493164,64.3651123046875,2139.00634765625,4.905897617340088,1.0645209550857544,38.543678283691406,68.71617126464844,1.8201433420181274,3070.613037109375,159.5624237060547,8.530442237854004,569.2442016601562,11.011007308959961,63871.375,2746.88671875,2746.88671875,3231.721435546875,164.08468627929688,0.5974918007850647
2024-08-26 08:00:00,134.71070861816406,5.031368255615234,26.853601455688477,353.11328125,1.0039681196212769,565.5473022460938,63789.88671875,4.7754950523376465,20.01786231994629,2739.11181640625,4.08034610748291,2.4757256507873535,7.692997455596924,8.369004249572754,21.816404342651367,8.6329984664917,5.910897254943848,12.266417503356934,64.20746612548828,2125.043212890625,4.869308948516846,1.0588442087173462,38.469825744628906,68.47469329833984,1.8125801086425781,3068.08935546875,159.1391143798828,8.435513496398926,566.8641357421875,10.981596946716309,63705.0390625,2744.245361328125,2744.245361328125,3226.570068359375,163.38963317871094,0.5950395464897156
2024-08-26 09:00:00,133.39752197265625,5.025320529937744,26.825973510742188,353.25189208984375,1.0016766786575317,563.3649291992188,63732.515625,4.742317199707031,20.007535934448242,2736.66845703125,4.08129358291626,2.4759974479675293,7.658142566680908,8.36330509185791,21.801963806152344,8.639679908752441,5.898221015930176,12.305083274841309,64.14627838134766,2119.97509765625,4.874520301818848,1.0587382316589355,38.43694305419922,68.5107650756836,1.8225219249725342,3059.060302734375,159.33084106445312,8.510970115661621,564.400634765625,10.982011795043945,63626.70703125,2741.404296875,2741.404541015625,3222.353759765625,163.91033935546875,0.5954217314720154
